program_type,year,snapshot_name,athlete_count,women_count,men_count,guides_count,states_represented,sports_count_or_label,returning_athletes,debut_athletes,medalists_entering,champions_entering,collegiate_athletes,schools_represented,parents_count,military_count,largest_sport_delegation,source_name,source_url,last_verified,notes
Olympic,2024,USOPC announcement/public page snapshot,610,323,287,0,46,44 sports,250+,,122,66,444,169,46,12,,USOPC 2024 U.S. Olympic Team announcement,https://www.usopc.org/news/2024/july/10/u-s-olympic-paralympic-committee-names-594-member-2024-u-s-olympic-team,2026-04-30,Public sources vary by snapshot and delegation updates. Aggregate only.
Olympic,2024,"Census July 26, 2024 roster snapshot",594,315,279,0,46,,250+,,122,66,,,,,,U.S. Census Hometown Heroes article,https://www.census.gov/library/stories/2024/07/2024-olympic-team.html,2026-04-30,"Census states calculations used the full roster as of July 10, 2024 and the roster was subject to change. Aggregate only."
Paralympic,2024,USOPC announcement/public page snapshot,225,110,110,5,38,22 Paralympic sports overall,141,78,100,,115,90,45,16,"U.S. Paralympics Track & Field, 54 athletes",USOPC 2024 U.S. Paralympic Team announcement,https://www.usopc.org/news/2024/august/19/united-states-olympic-paralympic-committee-reveals-225-member-2024-u-s-paralympic-team,2026-04-30,Includes five guides; gender split excludes guides. Aggregate only.
